,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Chicago Bulls,E,C,72,10,.878,12.24,116.00,102.51,13.49,11.80,115.72,102.71,13.01
2,Seattle SuperSonics,W,P,64,18,.780,7.79,111.19,103.02,8.17,7.39,110.95,103.22,7.73
3,Utah Jazz,W,M,55,27,.671,6.59,114.00,106.64,7.37,6.24,113.95,106.98,6.96
4,San Antonio Spurs,W,M,59,23,.720,6.30,110.86,104.10,6.75,5.97,110.67,104.29,6.38
5,Orlando Magic,E,A,60,22,.732,5.56,113.57,107.76,5.81,5.39,113.58,107.93,5.65
6,Los Angeles Lakers,W,P,53,29,.646,4.45,112.06,107.43,4.64,4.21,112.04,107.68,4.36
7,Indiana Pacers,E,C,52,30,.634,3.24,111.64,108.06,3.57,3.10,111.56,108.13,3.44
8,Cleveland Cavaliers,E,C,47,35,.573,2.59,110.82,107.72,3.11,2.49,110.76,107.76,3.00
9,Detroit Pistons,E,C,46,36,.561,2.50,108.88,105.90,2.98,2.45,108.77,105.84,2.93
10,New York Knicks,E,A,47,35,.573,2.32,106.75,104.29,2.45,2.24,106.59,104.20,2.39
11,Portland Trail Blazers,W,P,44,38,.537,2.35,106.65,104.18,2.47,2.21,106.45,104.16,2.30
12,Houston Rockets,W,M,48,34,.585,1.74,109.86,108.08,1.78,1.63,109.86,108.22,1.64
13,Miami Heat,E,A,42,40,.512,1.43,105.99,104.52,1.47,1.45,105.89,104.37,1.52
14,Atlanta Hawks,E,C,46,36,.561,1.22,110.17,108.78,1.39,1.28,110.18,108.71,1.47
15,Washington Bullets,E,A,39,43,.476,1.06,109.26,108.25,1.00,0.98,109.20,108.26,0.94
16,Phoenix Suns,W,P,41,41,.500,0.33,110.74,110.52,0.22,0.28,110.87,110.72,0.15
17,Charlotte Hornets,E,C,41,41,.500,-0.57,112.01,112.59,-0.58,-0.49,112.14,112.61,-0.47
18,Golden State Warriors,W,P,36,46,.439,-1.45,109.03,110.63,-1.60,-1.42,109.16,110.74,-1.58
19,Sacramento Kings,W,P,39,43,.476,-2.71,106.92,109.80,-2.87,-2.62,107.00,109.80,-2.80
20,Denver Nuggets,W,M,35,47,.427,-2.71,105.89,108.80,-2.91,-2.62,105.92,108.75,-2.83
21,Boston Celtics,E,A,33,49,.402,-3.40,106.93,110.60,-3.67,-3.37,106.92,110.55,-3.63
22,Los Angeles Clippers,W,P,29,53,.354,-3.60,107.22,111.10,-3.88,-3.47,107.37,111.12,-3.76
23,New Jersey Nets,E,A,30,52,.366,-4.23,102.77,107.24,-4.47,-4.14,102.72,107.08,-4.37
24,Dallas Mavericks,W,M,26,56,.317,-4.90,106.46,111.69,-5.23,-4.71,106.63,111.68,-5.05
25,Milwaukee Bucks,E,C,25,57,.305,-5.30,106.46,112.28,-5.82,-4.93,106.64,112.03,-5.39
26,Minnesota Timberwolves,W,M,26,56,.317,-5.35,104.88,110.58,-5.70,-5.14,104.99,110.48,-5.49
27,Toronto Raptors,E,C,21,61,.256,-7.51,104.74,112.75,-8.01,-7.20,104.87,112.54,-7.66
28,Philadelphia 76ers,E,A,18,64,.220,-10.00,102.84,113.77,-10.93,-9.45,103.12,113.44,-10.32
29,Vancouver Grizzlies,W,M,15,67,.183,-9.98,98.36,109.35,-10.99,-9.55,98.40,108.94,-10.54
