,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Los Angeles Lakers,W,P,63,19,.768,6.78,114.94,107.83,7.11,6.74,115.19,108.16,7.03
2,Phoenix Suns,W,P,54,28,.659,7.10,113.45,106.59,6.86,7.09,113.60,106.76,6.84
3,Portland Trail Blazers,W,P,59,23,.720,6.32,110.98,104.75,6.22,6.48,111.09,104.72,6.37
4,Detroit Pistons,E,C,59,23,.720,6.09,110.45,104.06,6.39,5.41,109.77,104.04,5.72
5,Utah Jazz,W,M,55,27,.671,4.79,110.97,106.06,4.91,4.82,111.23,106.32,4.91
6,Philadelphia 76ers,E,A,53,29,.646,4.99,114.10,109.10,4.99,4.23,113.80,109.55,4.25
7,San Antonio Spurs,W,M,56,26,.683,3.49,108.30,104.75,3.54,3.58,108.42,104.81,3.61
8,Boston Celtics,E,A,52,30,.634,3.99,112.19,108.25,3.94,3.23,111.86,108.66,3.20
9,Chicago Bulls,E,C,55,27,.671,3.26,113.07,109.66,3.41,2.74,112.75,109.83,2.91
10,Houston Rockets,W,M,41,41,.500,1.46,105.31,104.02,1.29,1.70,105.41,103.89,1.52
11,Denver Nuggets,W,M,43,39,.524,1.41,108.36,107.00,1.37,1.56,108.63,107.14,1.49
12,Seattle SuperSonics,W,P,41,41,.500,1.04,111.55,110.50,1.05,1.40,111.97,110.58,1.39
13,New York Knicks,E,A,45,37,.549,1.41,109.97,108.70,1.27,0.78,109.65,108.99,0.66
14,Atlanta Hawks,E,C,41,41,.500,1.02,113.52,112.70,0.82,0.64,113.38,112.91,0.47
15,Dallas Mavericks,W,M,47,35,.573,0.07,107.85,107.76,0.09,0.42,108.23,107.81,0.41
16,Indiana Pacers,E,C,42,40,.512,0.16,112.21,112.06,0.15,-0.18,112.03,112.19,-0.16
17,Cleveland Cavaliers,E,C,42,40,.512,-0.30,107.52,107.74,-0.22,-0.62,107.06,107.57,-0.51
18,Milwaukee Bucks,E,C,44,38,.537,-0.78,107.78,108.77,-0.98,-1.06,107.38,108.61,-1.23
19,Golden State Warriors,W,P,37,45,.451,-3.13,109.91,112.92,-3.01,-2.55,110.39,112.84,-2.45
20,Washington Bullets,E,A,31,51,.378,-2.16,107.86,110.18,-2.32,-2.43,107.60,110.17,-2.56
21,Los Angeles Clippers,W,P,30,52,.366,-3.39,104.51,107.91,-3.40,-2.80,104.76,107.59,-2.83
22,Minnesota Timberwolves,W,M,22,60,.268,-4.23,104.49,109.14,-4.65,-3.60,104.90,108.92,-4.02
23,Sacramento Kings,W,P,23,59,.280,-5.06,105.45,110.66,-5.21,-4.42,105.82,110.39,-4.57
24,Charlotte Hornets,W,M,19,63,.232,-7.82,102.44,110.26,-7.82,-7.01,102.95,109.98,-7.03
25,New Jersey Nets,E,A,17,65,.207,-7.87,101.43,109.29,-7.86,-7.82,101.11,108.91,-7.80
26,Orlando Magic,E,C,18,64,.220,-8.91,106.31,114.63,-8.32,-8.73,106.26,114.41,-8.15
27,Miami Heat,E,A,18,64,.220,-9.72,100.05,109.70,-9.64,-9.59,99.75,109.26,-9.51
