,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Seattle SuperSonics,W,P,63,19,.768,9.09,111.79,102.54,9.25,8.68,111.55,102.71,8.84
2,New York Knicks,E,A,57,25,.695,6.99,106.30,98.86,7.44,6.48,105.75,98.84,6.90
3,San Antonio Spurs,W,M,55,27,.671,5.26,111.19,105.49,5.70,5.05,111.31,105.83,5.47
4,Atlanta Hawks,E,C,57,25,.695,5.27,107.71,102.37,5.33,4.94,107.43,102.43,5.00
5,Phoenix Suns,W,P,56,26,.683,4.84,112.34,107.39,4.94,4.68,112.40,107.62,4.78
6,Houston Rockets,W,M,58,24,.707,4.32,106.42,101.95,4.47,4.19,106.27,101.93,4.34
7,Utah Jazz,W,M,53,29,.646,4.22,109.21,104.77,4.43,4.10,109.28,104.97,4.31
8,Cleveland Cavaliers,E,C,47,35,.573,4.02,110.05,105.82,4.23,3.64,109.85,106.03,3.83
9,Orlando Magic,E,A,50,32,.610,3.89,111.28,107.34,3.94,3.68,111.29,107.57,3.73
10,Indiana Pacers,E,C,47,35,.573,3.45,108.49,105.06,3.43,3.26,108.40,105.16,3.24
11,Chicago Bulls,E,C,55,27,.671,3.09,106.85,103.54,3.31,2.87,106.62,103.54,3.08
12,Portland Trail Blazers,W,P,47,35,.573,2.63,108.87,106.23,2.64,2.60,108.84,106.24,2.60
13,Miami Heat,E,A,42,40,.512,2.67,110.21,107.34,2.88,2.40,110.13,107.54,2.59
14,New Jersey Nets,E,A,45,37,.549,2.20,107.73,105.38,2.34,2.11,107.65,105.39,2.25
15,Golden State Warriors,W,P,50,32,.610,1.74,108.75,107.02,1.73,1.76,108.77,107.02,1.75
16,Denver Nuggets,W,M,42,40,.512,1.49,104.58,103.14,1.45,1.54,104.49,102.98,1.51
17,Charlotte Hornets,E,C,41,41,.500,-0.22,108.98,109.11,-0.12,-0.23,109.11,109.25,-0.13
18,Los Angeles Lakers,W,P,33,49,.402,-4.29,105.48,109.89,-4.42,-3.93,105.66,109.71,-4.04
19,Boston Celtics,E,A,32,50,.390,-4.28,104.91,109.45,-4.54,-4.27,104.87,109.40,-4.53
20,Los Angeles Clippers,W,P,27,55,.329,-5.72,103.66,109.31,-5.65,-5.28,103.80,109.01,-5.21
21,Sacramento Kings,W,P,28,54,.341,-5.77,104.01,109.83,-5.82,-5.32,104.19,109.56,-5.37
22,Milwaukee Bucks,E,C,20,62,.244,-6.48,103.18,109.97,-6.79,-6.24,103.24,109.79,-6.55
23,Minnesota Timberwolves,W,M,20,62,.244,-6.93,102.62,109.88,-7.26,-6.54,102.88,109.75,-6.86
24,Washington Bullets,E,A,24,58,.293,-7.38,105.07,112.82,-7.75,-7.13,105.32,112.81,-7.49
25,Philadelphia 76ers,E,A,25,57,.305,-7.62,102.32,110.27,-7.95,-7.37,102.41,110.09,-7.69
26,Detroit Pistons,E,C,20,62,.244,-7.78,103.33,111.39,-8.06,-7.45,103.52,111.25,-7.73
27,Dallas Mavericks,W,M,13,69,.159,-8.70,101.16,110.31,-9.15,-8.19,101.45,110.07,-8.62
