,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Utah Jazz,W,M,60,22,.732,7.99,115.18,106.48,8.70,7.75,115.00,106.58,8.43
2,Seattle SuperSonics,W,P,57,25,.695,8.18,115.51,107.06,8.45,7.91,115.34,107.19,8.16
3,Orlando Magic,E,A,57,25,.695,7.06,115.89,108.48,7.41,6.44,115.90,109.13,6.77
4,San Antonio Spurs,W,M,62,20,.756,5.96,112.31,106.04,6.27,5.90,112.13,105.93,6.19
5,Chicago Bulls,E,C,47,35,.573,4.83,110.15,105.13,5.02,4.31,110.00,105.51,4.49
6,Phoenix Suns,W,P,59,23,.720,3.88,115.01,111.06,3.95,3.85,115.09,111.17,3.92
7,Portland Trail Blazers,W,P,44,38,.537,3.82,110.20,106.35,3.85,3.79,109.98,106.16,3.82
8,Indiana Pacers,E,C,52,30,.634,3.70,110.54,106.36,4.18,3.35,110.52,106.71,3.81
9,Charlotte Hornets,E,C,50,32,.610,3.28,110.40,106.75,3.65,2.86,110.31,107.10,3.21
10,New York Knicks,E,A,55,27,.671,3.11,107.95,104.41,3.54,2.78,107.70,104.51,3.18
11,Houston Rockets,W,M,47,35,.573,2.12,110.41,108.16,2.25,2.32,110.37,107.93,2.44
12,Atlanta Hawks,E,C,42,40,.512,1.28,107.04,105.76,1.28,1.05,106.97,105.91,1.06
13,Denver Nuggets,W,M,41,41,.500,0.84,109.73,108.92,0.81,0.95,109.66,108.75,0.91
14,Cleveland Cavaliers,E,C,43,39,.524,0.62,106.36,105.70,0.66,0.55,106.36,105.77,0.60
15,Los Angeles Lakers,W,P,48,34,.585,-0.22,109.95,110.16,-0.22,-0.01,109.95,109.96,-0.01
16,Sacramento Kings,W,P,39,43,.476,-1.00,106.27,107.30,-1.02,-0.75,106.09,106.86,-0.77
17,Miami Heat,E,A,32,50,.390,-1.63,108.91,110.59,-1.68,-1.85,109.01,110.91,-1.90
18,Boston Celtics,E,A,35,47,.427,-1.88,109.26,111.22,-1.96,-1.92,109.43,111.43,-2.00
19,Dallas Mavericks,W,M,36,46,.439,-2.90,108.01,111.02,-3.01,-2.40,108.12,110.61,-2.49
20,New Jersey Nets,E,A,30,52,.366,-3.13,105.85,109.30,-3.45,-3.28,105.88,109.46,-3.58
21,Milwaukee Bucks,E,C,34,48,.415,-4.37,106.98,111.46,-4.48,-4.30,107.18,111.58,-4.40
22,Golden State Warriors,W,P,26,56,.317,-5.41,107.13,112.77,-5.64,-4.91,107.28,112.41,-5.12
23,Philadelphia 76ers,E,A,24,58,.293,-5.07,104.80,110.36,-5.56,-5.07,104.83,110.36,-5.53
24,Washington Bullets,E,A,21,61,.256,-5.60,105.93,111.83,-5.90,-5.56,106.06,111.91,-5.85
25,Detroit Pistons,E,C,28,54,.341,-7.29,105.66,113.42,-7.76,-7.09,105.98,113.51,-7.52
26,Minnesota Timberwolves,W,M,21,61,.256,-9.00,103.48,113.19,-9.71,-8.22,103.69,112.58,-8.89
27,Los Angeles Clippers,W,P,17,65,.207,-9.16,102.16,111.80,-9.64,-8.44,102.24,111.13,-8.90
