,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Chicago Bulls,E,C,69,13,.841,10.80,114.88,102.99,11.90,10.70,115.01,103.19,11.82
2,Utah Jazz,W,M,64,18,.780,8.79,114.41,104.75,9.66,7.97,113.94,105.23,8.72
3,Seattle SuperSonics,W,P,57,25,.695,7.68,112.02,103.67,8.35,6.91,111.50,104.03,7.47
4,Miami Heat,E,A,61,21,.744,5.49,107.67,101.38,6.30,5.56,107.71,101.31,6.40
5,Detroit Pistons,E,C,54,28,.659,5.24,111.44,105.29,6.15,5.44,111.68,105.30,6.38
6,Atlanta Hawks,E,C,56,26,.683,5.44,109.37,103.26,6.10,5.52,109.42,103.20,6.22
7,Houston Rockets,W,M,57,25,.695,4.48,109.31,104.57,4.74,3.85,108.82,104.80,4.02
8,Portland Trail Blazers,W,P,49,33,.598,4.17,108.59,104.05,4.54,3.56,108.07,104.24,3.83
9,Los Angeles Lakers,W,P,56,26,.683,4.27,108.84,104.44,4.40,3.66,108.34,104.65,3.70
10,New York Knicks,E,A,57,25,.695,3.12,105.26,101.90,3.36,3.31,105.29,101.68,3.61
11,Cleveland Cavaliers,E,C,42,40,.512,1.84,105.44,103.38,2.06,2.32,105.70,103.08,2.61
12,Charlotte Hornets,E,C,54,28,.659,1.87,111.64,109.59,2.04,2.13,112.02,109.65,2.37
13,Washington Bullets,E,A,44,38,.537,1.62,107.30,105.63,1.67,1.77,107.47,105.59,1.88
14,Indiana Pacers,E,C,39,43,.476,0.98,106.98,105.88,1.10,1.49,107.36,105.67,1.69
15,Phoenix Suns,W,P,40,42,.488,0.66,109.97,109.17,0.81,0.21,109.71,109.44,0.27
16,Orlando Magic,E,A,45,37,.549,-0.35,106.36,106.85,-0.49,-0.07,106.67,106.80,-0.14
17,Milwaukee Bucks,E,C,33,49,.402,-1.89,106.73,108.92,-2.19,-1.38,107.12,108.70,-1.59
18,Minnesota Timberwolves,W,M,40,42,.488,-1.48,106.25,107.97,-1.72,-1.82,105.92,108.06,-2.13
19,Toronto Raptors,E,C,30,52,.366,-3.12,105.33,108.86,-3.53,-2.56,105.71,108.57,-2.87
20,Los Angeles Clippers,W,P,36,46,.439,-2.35,105.91,108.51,-2.60,-2.66,105.60,108.58,-2.98
21,Sacramento Kings,W,P,34,48,.415,-3.38,105.61,109.41,-3.80,-3.64,105.35,109.47,-4.12
22,New Jersey Nets,E,A,26,56,.317,-4.56,105.47,110.47,-5.00,-3.89,106.00,110.22,-4.22
23,Golden State Warriors,W,P,30,52,.366,-4.71,108.01,113.09,-5.08,-4.90,107.93,113.27,-5.34
24,Philadelphia 76ers,E,A,22,60,.268,-6.54,105.33,112.08,-6.75,-5.89,105.88,111.90,-6.02
25,Boston Celtics,E,A,15,67,.183,-7.33,104.50,112.12,-7.62,-6.62,105.00,111.82,-6.82
26,Denver Nuggets,W,M,21,61,.256,-6.28,105.43,112.09,-6.66,-6.40,105.30,112.15,-6.85
27,Dallas Mavericks,W,M,24,58,.293,-6.35,102.09,109.30,-7.21,-6.47,101.81,109.18,-7.37
28,San Antonio Spurs,W,M,20,62,.244,-7.88,104.22,113.16,-8.94,-7.93,104.14,113.15,-9.02
29,Vancouver Grizzlies,W,M,14,68,.171,-10.23,101.27,112.87,-11.60,-10.17,101.16,112.72,-11.55
