,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Chicago Bulls,E,C,61,21,.744,9.10,115.16,105.67,9.50,8.57,114.92,105.98,8.94
2,Portland Trail Blazers,W,P,63,19,.768,8.68,113.26,104.87,8.38,8.47,113.16,104.98,8.18
3,Los Angeles Lakers,W,P,58,24,.707,6.74,112.54,105.59,6.95,6.73,112.49,105.56,6.93
4,Phoenix Suns,W,P,55,27,.671,6.55,112.98,106.53,6.45,6.49,113.04,106.64,6.40
5,Boston Celtics,E,A,56,26,.683,5.82,112.88,107.07,5.80,5.21,112.78,107.59,5.19
6,San Antonio Spurs,W,M,55,27,.671,4.51,108.20,103.95,4.25,4.30,108.02,103.95,4.07
7,Utah Jazz,W,M,54,28,.659,3.33,109.22,105.78,3.44,3.18,109.12,105.84,3.28
8,Houston Rockets,W,M,52,30,.634,3.50,107.86,104.38,3.48,3.27,107.64,104.37,3.27
9,Detroit Pistons,E,C,50,32,.610,3.27,108.74,105.29,3.45,3.07,108.45,105.20,3.24
10,Milwaukee Bucks,E,C,48,34,.585,2.48,110.35,107.93,2.42,2.32,110.23,107.96,2.27
11,Golden State Warriors,W,P,44,38,.537,1.63,112.18,110.61,1.57,1.72,112.44,110.79,1.65
12,Seattle SuperSonics,W,P,41,41,.500,1.23,110.54,109.27,1.27,1.31,110.71,109.37,1.35
13,Atlanta Hawks,E,C,43,39,.524,0.77,111.25,110.39,0.85,0.72,111.28,110.48,0.80
14,Indiana Pacers,E,C,41,41,.500,-0.39,112.24,112.66,-0.41,-0.38,112.41,112.81,-0.40
15,New York Knicks,E,A,39,43,.476,-0.23,107.78,108.01,-0.23,-0.44,107.71,108.15,-0.45
16,Philadelphia 76ers,E,A,44,38,.537,-0.18,108.41,108.73,-0.32,-0.39,108.39,108.93,-0.53
17,Cleveland Cavaliers,E,C,33,49,.402,-2.46,106.56,109.12,-2.56,-2.33,106.50,108.92,-2.42
18,Los Angeles Clippers,W,P,31,51,.378,-3.45,103.59,106.98,-3.39,-3.16,103.53,106.64,-3.10
19,Orlando Magic,W,M,31,51,.378,-3.98,106.33,110.41,-4.08,-3.79,106.46,110.34,-3.88
20,Minnesota Timberwolves,W,M,29,53,.354,-3.93,107.34,111.57,-4.24,-3.75,107.52,111.55,-4.02
21,Dallas Mavericks,W,M,28,54,.341,-4.57,106.00,110.81,-4.82,-4.27,106.19,110.70,-4.50
22,New Jersey Nets,E,A,26,56,.317,-4.51,103.27,107.88,-4.60,-4.54,103.19,107.82,-4.63
23,Washington Bullets,E,A,30,52,.366,-4.98,103.55,108.65,-5.10,-4.84,103.52,108.49,-4.97
24,Charlotte Hornets,E,C,26,56,.317,-5.24,105.38,110.75,-5.37,-4.95,105.41,110.48,-5.07
25,Miami Heat,E,A,24,58,.293,-5.99,102.55,108.61,-6.07,-5.91,102.51,108.50,-5.99
26,Sacramento Kings,W,P,25,57,.305,-6.78,102.37,109.65,-7.28,-6.28,102.50,109.25,-6.75
27,Denver Nuggets,W,M,20,62,.244,-10.91,105.58,114.94,-9.36,-10.32,106.00,114.83,-8.84
