,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Milwaukee Bucks,E,C,35,6,.854,12.29,114.26,102.47,11.79,11.18,114.02,103.33,10.69
2,Los Angeles Lakers,W,P,32,7,.821,8.28,113.56,105.48,8.09,8.57,113.17,104.78,8.40
3,Dallas Mavericks,W,SW,24,15,.615,6.87,117.58,110.64,6.94,7.18,117.89,110.68,7.22
4,Los Angeles Clippers,W,P,27,12,.692,6.10,112.68,106.77,5.91,6.47,112.35,106.07,6.28
5,Boston Celtics,E,A,26,11,.703,6.97,112.78,105.72,7.06,5.82,112.00,106.09,5.90
6,Toronto Raptors,E,A,25,13,.658,5.26,110.50,105.21,5.29,5.63,110.84,105.20,5.64
7,Houston Rockets,W,SW,26,12,.684,5.50,115.27,109.84,5.43,5.03,115.12,110.14,4.97
8,Philadelphia 76ers,E,A,25,15,.625,3.48,110.41,106.94,3.46,3.65,110.25,106.60,3.65
9,Utah Jazz,W,NW,26,12,.684,3.50,110.81,107.08,3.73,3.17,111.29,107.91,3.37
10,Miami Heat,E,SE,27,11,.711,3.89,112.04,108.37,3.67,3.47,111.95,108.68,3.28
11,Denver Nuggets,W,NW,26,12,.684,3.55,112.27,108.55,3.72,3.03,111.78,108.56,3.23
12,Indiana Pacers,E,C,24,15,.615,3.05,111.49,108.28,3.21,2.29,111.38,108.93,2.46
13,Oklahoma City Thunder,W,NW,22,17,.564,1.54,110.43,108.89,1.54,2.01,110.52,108.51,2.01
14,Orlando Magic,E,SE,18,21,.462,0.21,106.20,106.18,0.02,0.41,105.95,105.71,0.24
15,San Antonio Spurs,W,SW,16,21,.432,-1.11,112.00,113.16,-1.16,-0.74,111.95,112.77,-0.82
16,Phoenix Suns,W,P,15,23,.395,-1.11,110.72,112.00,-1.28,-1.31,110.61,112.07,-1.46
17,Portland Trail Blazers,W,NW,16,24,.400,-2.40,110.45,112.86,-2.41,-2.02,111.00,113.05,-2.05
18,New Orleans Pelicans,W,SW,14,26,.350,-4.00,109.68,113.44,-3.77,-2.47,110.55,112.82,-2.26
19,Chicago Bulls,E,C,14,26,.350,-1.80,106.22,108.04,-1.82,-2.46,105.74,108.22,-2.48
20,Brooklyn Nets,E,A,17,20,.459,-1.95,106.80,108.74,-1.94,-2.73,106.31,109.00,-2.68
21,Sacramento Kings,W,P,15,24,.385,-2.79,108.52,111.24,-2.72,-2.88,108.19,110.98,-2.80
22,Memphis Grizzlies,W,SW,17,22,.436,-3.28,109.96,113.15,-3.19,-2.92,110.24,113.10,-2.86
23,Minnesota Timberwolves,W,NW,15,23,.395,-2.89,107.58,110.37,-2.79,-3.28,106.84,110.02,-3.18
24,Detroit Pistons,E,C,14,26,.350,-2.88,110.18,112.95,-2.78,-3.36,110.05,113.31,-3.27
25,Washington Wizards,E,SE,13,25,.342,-4.87,111.67,116.35,-4.68,-4.81,111.98,116.62,-4.64
26,Charlotte Hornets,E,SE,15,26,.366,-6.71,107.66,114.43,-6.78,-7.09,107.76,114.89,-7.13
27,Cleveland Cavaliers,E,C,12,27,.308,-8.23,106.76,115.16,-8.40,-7.21,107.54,114.94,-7.40
28,Golden State Warriors,W,P,9,31,.225,-7.90,104.56,112.57,-8.01,-7.73,104.38,112.21,-7.84
29,New York Knicks,E,A,10,29,.256,-8.23,105.51,113.82,-8.32,-7.75,105.77,113.61,-7.84
30,Atlanta Hawks,E,SE,8,31,.205,-9.72,104.46,113.62,-9.16,-8.56,105.48,113.53,-8.05
